Sales Report for Hopin Express
Report for 3 Months Commencing Wednesday 1st October 2025

All Wholesalers,1414 Products Sold for Wholesaler
Alcohol,196 Products Sold in Category
Alcohol Beer,38 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="2300214600859",,"Dudhi",0.00%,5.89,1641,9.45,0.00,0.00,0.00,0.0%
="2300214600620",,"Green Chilli",0.00%,6.99,1505,10.39,0.00,6.02,4.37,42.1%
="1110000005307",,"Misc. Fruit",0.00%,0.00,844,8.44,0.00,0.00,0.00,0.0%
Sub Category Totals for Groceries Fruit & Veg Non-Barcoded,,,,,3993,32.19,0.00,9.47,4.83,70.6%

Groceries Happy Shopper,1 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="8904063223494",,"Hal Ready Rajma",0.00%,1.49,13,19.37,0.00,14.94,4.43,22.9%
Sub Category Totals for Groceries Happy Shopper,,,,,13,19.37,0.00,14.94,4.43,22.9%

Groceries PM,28 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="5011157997735",,"Akash Basmati Rice 5Kg Pm Â£",0.00%,8.99,1,8.99,0.00,7.29,1.70,18.9%
="5000354929786",,"Ambrosia Rice Pm1.50",0.00%,1.50,1,1.50,0.00,1.12,0.38,25.1%
="5000354924378",,"Batc Pns Mac&Cheese 1.45",0.00%,1.45,1,1.45,0.00,1.00,0.45,31.1%
="8720182742261",,"Col  Mix Chilli Con 1.09",0.00%,1.09,1,1.09,0.00,0.68,0.41,37.7%
="8720182713339",,"Col  Mix Sausage Ca 1.09",0.00%,1.09,1,1.09,0.00,0.68,0.41,37.7%
="8002210134164",,"F/Berio E/V O/Oil Pm6.99",0.00%,6.99,2,13.29,0.00,9.46,3.83,28.8%
="3254474027163",,"G Gnt Orig Sweetcorn 1.3",0.00%,1.30,4,5.07,0.00,3.80,1.27,25.1%
="5059630006772",,"G/L Sunflower Oil 2.49",0.00%,2.49,3,7.47,0.00,4.84,2.62,35.1%
="5059630006765",,"Gl Jalfrezi Cs 1.49",0.00%,1.49,2,2.98,0.00,2.00,0.98,33.0%
="5059630006734",,"Gl Tomato Basil Ps 1.49",0.00%,1.49,1,1.49,0.00,1.00,0.49,33.0%
="5059630005980",,"Go Local Chop Tomato 79P",0.00%,0.79,1,0.79,0.00,0.48,0.31,38.9%
="5059630006680",,"Go Local Fusilli 1.19",0.00%,1.19,1,1.14,0.00,0.67,0.47,41.7%
="5059630006383",,"Go Local Mayonnaise Pm 1.99",0.00%,1.99,4,7.96,0.00,5.25,2.71,34.1%
="5059630006666",,"Go Local Spaghetti 1.19",0.00%,1.19,1,1.19,0.00,0.67,0.52,44.0%
="5059630006390",,"Go Local T/Ketchup 1.49",0.00%,1.49,1,1.49,0.00,0.87,0.62,41.4%
="5059630006635",,"Go Local Table Salt 1.19",0.00%,1.19,4,4.76,0.00,3.33,1.43,30.0%
="3254474011261",,"Grn Gnt S/Corn&Pepp 99P",0.00%,0.99,1,0.99,0.00,0.73,0.26,26.0%
="5060391629513",,"Hart Best S/Berry 1.99",0.00%,1.99,1,1.99,0.00,1.48,0.51,25.5%
="5060391629438",,"Hartley S/Less S/B 1.99",0.00%,1.99,1,1.99,0.00,1.48,0.51,25.5%
="5000157150851",,"Heinz Veg Soup 1.89",0.00%,1.89,1,1.89,0.00,1.33,0.56,29.5%
="8715700124537",,"Hp Sauce Pm 2.69",0.00%,2.69,1,2.69,0.00,2.16,0.53,19.8%
="6003770008157",,"Nando Hot Peri Peri 2.49",0.00%,2.49,1,2.49,0.00,1.83,0.66,26.4%
="8445291282223",,"Nesc Caramel 3In1 Pm1",0.00%,1.00,1,1.00,0.00,0.80,0.20,20.1%
="8445291673977",,"Nescafe Original Pm 2.49",0.00%,2.49,3,7.23,0.00,5.01,2.22,30.6%
="8720608036714",,"Pg Tips Teabags Pm3.29",0.00%,3.29,1,3.29,0.00,2.33,0.96,29.1%
="5011273047079",,"Rowse Squeeze Honey 2.69",0.00%,2.69,3,8.07,0.00,5.39,2.67,33.1%
="5011157996530",,"Tilda Basmati Rice 1Kg Pm Â£",0.00%,3.99,5,19.95,0.00,14.99,4.96,24.8%
="0615357000445",,"Yorkshire Tea  Pm 2.29",0.00%,2.29,1,2.29,0.00,1.72,0.57,25.0%
Sub Category Totals for Groceries PM,,,,,49,115.62,0.00,82.40,33.22,28.7%

Category Totals for Groceries,,,,,9903,3655.78,25.20,2616.86,817.06,27.9%


Household,49 Products Sold in Category
Household,9 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="5059630004136",,"Gl Blue T/Roll 1.29",20.00%,1.29,1,1.29,0.21,0.70,0.38,35.0%
="5059630004853",,"Go Local Foil 300Mm 1.39",20.00%,1.39,2,2.78,0.46,1.19,1.13,48.6%
="8901810006232",,"Hem Incense Sandalwood",20.00%,0.49,4,1.96,0.33,1.17,0.47,28.6%
="8904234405506",,"Incense Sticks",20.00%,0.69,2,1.38,0.23,0.83,0.32,27.7%
="0810093450473",,"Litescale",20.00%,6.99,1,6.99,1.17,4.30,1.52,26.2%
="8904234405643",,"Satya Incense",20.00%,0.69,9,6.15,1.02,3.74,1.38,27.0%
